ticket_text,category,priority
"Hi support, My billing address needs to be updated for the next cycle. Waiting for your reply.",Billing,Medium
"Hi support, Is there a fee for using a specific payment method? Thanks.",Payment,Low
How do I change my payment method for future bills? Waiting for your reply.,Billing,Low
"Hello, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable!",Refund,High
There is an unauthorized charge on my bill. I need this resolved ASAP. ASAP.,Billing,High
Help! Do you ship internationally? Waiting for your reply.,Shipping,Low
Help! What are your office hours?,General Inquiry,Low
"Hi support, How do I update my profile picture? Thanks.",Account,Low
Urgent: I want to delete my account. Please guide me through the process. Thanks.,Account,Medium
Urgent: How do I become an affiliate partner? Please help.,General Inquiry,Medium
"Hello, Do you offer refunds for digital products?",Refund,Low
There is an unauthorized charge on my bill. I need this resolved ASAP.,Billing,High
Do you offer discounts for non-profit organizations? ASAP.,General Inquiry,Medium
Help! What currencies do you support for payments? Thanks.,Payment,Low
"Hi support, The packaging was a bit dented, but the product is fine. Please help.",Product Issue,Low
"Hello, The dashboard is loading very slowly today. Thanks.",Technical Issue,Medium
"Hello, Do you offer discounts for non-profit organizations? ASAP.",General Inquiry,Medium
Your system is violating GDPR and I need an urgent explanation. ASAP.,General Inquiry,High
Urgent: The dashboard is loading very slowly today. Please help.,Technical Issue,Medium
Help! The shipping address was wrong and it's going to the wrong state. Stop the shipment! ASAP.,Shipping,High
Help! How do I change my payment method for future bills? ASAP.,Billing,Low
"Hi support, Do you ship internationally?",Shipping,Low
"Hello, Is there a fee for using a specific payment method? ASAP.",Payment,Low
Is there a way to get a copy of my old invoices?,Billing,Low
"Hello, My card is being declined even though it has sufficient funds. I need to buy this now. Waiting for your reply.",Payment,High
"Hello, Do you have a mobile app? Thanks.",General Inquiry,Low
"Hi support, I have a question about my latest invoice. Can someone explain the charges?",Billing,Medium
Help! Your system is violating GDPR and I need an urgent explanation. Please help.,General Inquiry,High
Urgent: My payment is pending. How long does it usually take to clear? ASAP.,Payment,Medium
The software is corrupting my files. I need a patch immediately. Waiting for your reply.,Product Issue,High
Help! The font on the settings page looks a bit weird. Thanks.,Technical Issue,Low
Help! I am a press member and need an immediate statement on the recent outage. Please help.,General Inquiry,High
"Hello, Do you have a mobile app?",General Inquiry,Low
Urgent: What courier do you use for standard shipping?,Shipping,Low
"Hi support, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Please help.",Refund,High
Urgent: Do you offer discounts for non-profit organizations? Thanks.,General Inquiry,Medium
Urgent: My payment failed but the money was deducted from my bank! Fix this now!,Payment,High
"Hi support, I am a press member and need an immediate statement on the recent outage. ASAP.",General Inquiry,High
"Hello, Can I get a demo of the enterprise features? Waiting for your reply.",General Inquiry,Medium
Urgent: I cannot complete the checkout process. The payment gateway is timing out. Please help.,Payment,High
Urgent: I didn't receive my invoice for this month. Waiting for your reply.,Billing,Medium
Help! The instructions were a bit hard to understand. ASAP.,Product Issue,Low
Urgent: Can I change the shipping address for my current order? Thanks.,Shipping,Medium
Urgent: My billing address needs to be updated for the next cycle. Waiting for your reply.,Billing,Medium
"Hello, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Thanks.",Refund,High
I cannot complete the checkout process. The payment gateway is timing out.,Payment,High
Urgent: The color of the product I received doesn't match the website. ASAP.,Product Issue,Medium
The shipping address was wrong and it's going to the wrong state. Stop the shipment!,Shipping,High
Urgent: The device stopped working completely after one day. It's totally defective.,Product Issue,High
"Hi support, What currencies do you support for payments? Thanks.",Payment,Low
"Hi support, The dashboard is loading very slowly today. ASAP.",Technical Issue,Medium
"Hi support, I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Thanks.",Billing,High
One of the features is not working as described in the manual. Thanks.,Product Issue,Medium
Urgent: My tracking number hasn't updated in 3 days. Please help.,Shipping,Medium
Help! My credit card was charged but the service is not active. I need a refund right now. Please help.,Billing,High
My order is 2 weeks late and I need the items for an event tomorrow. Waiting for your reply.,Shipping,High
"The packaging was a bit dented, but the product is fine. Thanks.",Product Issue,Low
Urgent: How much is the expedited shipping fee? Waiting for your reply.,Shipping,Medium
Is there a fee for using a specific payment method? Waiting for your reply.,Payment,Low
Urgent: Is there a way to get a copy of my old invoices? Waiting for your reply.,Billing,Low
"Hello, Just wondering when the next billing cycle starts.",Billing,Low
"Hi support, One of the features is not working as described in the manual. Waiting for your reply.",Product Issue,Medium
I need to speak to a manager immediately regarding a legal matter. ASAP.,General Inquiry,High
I didn't receive my invoice for this month. Please help.,Billing,Medium
"Hello, I want to delete my account. Please guide me through the process.",Account,Medium
Urgent: I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! ASAP.,Technical Issue,High
Do you accept cryptocurrency? Thanks.,Payment,Low
"Hello, The entire system is down! None of my team can log in. This is critical! Thanks.",Technical Issue,High
The instructions were a bit hard to understand. Thanks.,Product Issue,Low
Urgent: How do I add a new credit card to my account? Thanks.,Payment,Medium
Urgent: I need to merge two duplicate accounts. Please help.,Account,Medium
Do you offer refunds for digital products? Waiting for your reply.,Refund,Low
"Hi support, I cancelled my subscription within the 30-day window but was still charged. Refund now!",Refund,High
Is there a fee for using a specific payment method? Please help.,Payment,Low
Urgent: The battery life on this device is much shorter than advertised. Thanks.,Product Issue,Medium
Help! My credit card was charged but the service is not active. I need a refund right now. Waiting for your reply.,Billing,High
Help! Can I change my username? Please help.,Account,Low
"Hello, Do you offer discounts for non-profit organizations? Waiting for your reply.",General Inquiry,Medium
Help! My account was suspended without any notice. I need access restored now. Please help.,Account,High
I didn't receive my invoice for this month. Thanks.,Billing,Medium
Urgent: The software is corrupting my files. I need a patch immediately. Please help.,Product Issue,High
"Hi support, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable!",Refund,High
"Hi support, What currencies do you support for payments?",Payment,Low
Urgent: My account was suspended without any notice. I need access restored now.,Account,High
Urgent: The application crashes immediately upon opening. I cannot work at all. Thanks.,Technical Issue,High
Urgent: Where can I find my account ID? Please help.,Account,Low
How do I update my profile picture? Thanks.,Account,Low
Help! Do you offer refunds for digital products? ASAP.,Refund,Low
"Hi support, When will my order be shipped?",Shipping,Low
Urgent: Minor UI glitch on the profile page. Thanks.,Technical Issue,Low
Help! Do you ship internationally? Please help.,Shipping,Low
Urgent: What is your refund policy? Thanks.,Refund,Low
Help! How much is the expedited shipping fee? ASAP.,Shipping,Medium
Urgent: I have a question about my latest invoice. Can someone explain the charges?,Billing,Medium
Urgent: Do you have a mobile app? Please help.,General Inquiry,Low
Urgent: My tracking number hasn't updated in 3 days. Waiting for your reply.,Shipping,Medium
Help! I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Please help.,Refund,High
My billing address needs to be updated for the next cycle. ASAP.,Billing,Medium
Help! Just wondering when the next billing cycle starts. Waiting for your reply.,Billing,Low
"Hello, The entire system is down! None of my team can log in. This is critical! Waiting for your reply.",Technical Issue,High
Urgent: Can I change the shipping address for my current order? Please help.,Shipping,Medium
My account has been hacked! Someone changed my password and email. Lock it immediately! Thanks.,Account,High
"Hello, Can I pay via PayPal instead of credit card? Thanks.",Payment,Medium
"Hi support, I cannot complete the checkout process. The payment gateway is timing out. Waiting for your reply.",Payment,High
"Hi support, What is your refund policy? Please help.",Refund,Low
"Hi support, What is your refund policy? Waiting for your reply.",Refund,Low
Help! Is there a dark mode available for the app? Thanks.,Technical Issue,Low
Urgent: How do I become an affiliate partner? Please help.,General Inquiry,Medium
I need to speak to a manager immediately regarding a legal matter. Waiting for your reply.,General Inquiry,High
Is there a fee for using a specific payment method? Please help.,Payment,Low
Help! Is there a dark mode available for the app? Waiting for your reply.,Technical Issue,Low
"Hello, Is there a way to customize the color of the app interface? Please help.",Product Issue,Low
"Hello, How do I become an affiliate partner?",General Inquiry,Medium
"Hi support, Is there a fee for using a specific payment method? Please help.",Payment,Low
Just checking the status of my refund request. Please help.,Refund,Low
Help! My account was suspended without any notice. I need access restored now. Waiting for your reply.,Account,High
"Hi support, Do you offer discounts for non-profit organizations? ASAP.",General Inquiry,Medium
Urgent: Is there a dark mode available for the app? Thanks.,Technical Issue,Low
"Hi support, My tracking number hasn't updated in 3 days. Waiting for your reply.",Shipping,Medium
Urgent: I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Waiting for your reply.,Refund,High
My order is 2 weeks late and I need the items for an event tomorrow. Waiting for your reply.,Shipping,High
Urgent: Do you offer discounts for non-profit organizations? Waiting for your reply.,General Inquiry,Medium
"Hi support, The color of the product I received doesn't match the website. Thanks.",Product Issue,Medium
"Hello, Your system is violating GDPR and I need an urgent explanation. ASAP.",General Inquiry,High
I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Please help.,Billing,High
"Hi support, I returned the item last week, when will the refund hit my account? Thanks.",Refund,Medium
My account was suspended without any notice. I need access restored now. Please help.,Account,High
Help! How much is the expedited shipping fee? Waiting for your reply.,Shipping,Medium
"Urgent: The packaging was a bit dented, but the product is fine. ASAP.",Product Issue,Low
Help! The application crashes immediately upon opening. I cannot work at all. ASAP.,Technical Issue,High
"Hi support, When can I expect my refund to be processed?",Refund,Medium
"Hello, I would like to request a partial refund for the damaged item. Thanks.",Refund,Medium
Do you ship internationally?,Shipping,Low
Urgent: How do I change my email address associated with this account? Waiting for your reply.,Account,Medium
"Hi support, The instructions were a bit hard to understand. ASAP.",Product Issue,Low
"Hello, The instructions were a bit hard to understand. Thanks.",Product Issue,Low
"Urgent: I returned the item last week, when will the refund hit my account? Please help.",Refund,Medium
Help! I can't export my reports to PDF. It just hangs. Thanks.,Technical Issue,Medium
"Hello, Can I change my username?",Account,Low
Help! Where can I read your blog? ASAP.,General Inquiry,Low
"Hi support, I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Waiting for your reply.",Billing,High
"Hi support, How do I add a new credit card to my account? Waiting for your reply.",Payment,Medium
"Hi support, What are your office hours?",General Inquiry,Low
Help! I didn't receive my invoice for this month.,Billing,Medium
Urgent: Do you ship internationally?,Shipping,Low
Urgent: Is there a fee for using a specific payment method?,Payment,Low
Urgent: I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately!,Billing,High
Urgent: What are your office hours? Thanks.,General Inquiry,Low
"Hello, My package was marked as delivered but I never received it! I need this resolved immediately.",Shipping,High
"Hello, I cannot complete the checkout process. The payment gateway is timing out. Please help.",Payment,High
Help! I cannot complete the checkout process. The payment gateway is timing out. Waiting for your reply.,Payment,High
Help! My card is being declined even though it has sufficient funds. I need to buy this now. ASAP.,Payment,High
Help! The product was completely broken and I need my money back immediately. Please help.,Refund,High
"Hello, How do I change my payment method for future bills? Please help.",Billing,Low
"Hello, My payment failed but the money was deducted from my bank! Fix this now! Please help.",Payment,High
"Hi support, How do I change my payment method for future bills? Thanks.",Billing,Low
"Hello, Is there a way to get a copy of my old invoices? ASAP.",Billing,Low
Urgent: What currencies do you support for payments? ASAP.,Payment,Low
Can I change the shipping address for my current order?,Shipping,Medium
Urgent: Just checking the status of my refund request. Please help.,Refund,Low
Help! Minor UI glitch on the profile page. Please help.,Technical Issue,Low
"Hi support, Is there a fee for using a specific payment method? Waiting for your reply.",Payment,Low
"Hello, My order is 2 weeks late and I need the items for an event tomorrow.",Shipping,High
Help! Is there a way to customize the color of the app interface? Please help.,Product Issue,Low
Urgent: My card is being declined even though it has sufficient funds. I need to buy this now. Waiting for your reply.,Payment,High
I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! ASAP.,Technical Issue,High
Help! The entire system is down! None of my team can log in. This is critical! Thanks.,Technical Issue,High
Help! Is there a way to get a copy of my old invoices? ASAP.,Billing,Low
My package was marked as delivered but I never received it! I need this resolved immediately. Waiting for your reply.,Shipping,High
Help! My package was marked as delivered but I never received it! I need this resolved immediately. Please help.,Shipping,High
How much is the expedited shipping fee? ASAP.,Shipping,Medium
"Hello, Where can I find my account ID? Please help.",Account,Low
Urgent: What are your office hours? ASAP.,General Inquiry,Low
Urgent: The instructions were a bit hard to understand. ASAP.,Product Issue,Low
I am a press member and need an immediate statement on the recent outage.,General Inquiry,High
"Hi support, I cancelled my subscription within the 30-day window but was still charged. Refund now! Please help.",Refund,High
I cancelled my subscription within the 30-day window but was still charged. Refund now! Please help.,Refund,High
Urgent: Is there a way to customize the color of the app interface? Thanks.,Product Issue,Low
"Hello, My account was suspended without any notice. I need access restored now. Waiting for your reply.",Account,High
"Hi support, The color of the product I received doesn't match the website. Thanks.",Product Issue,Medium
